id,lang,stage,prompt_type,difficulty,inquiry,reference,context,multimodal_asset_paths
PR-EN-011-fe,en,problem_generating,few_shot,intermediate,"A fan with blade radius 0.20 m (as shown in the image) has angular velocity data plotted in the graph. During the increase phase (green region), angular velocity rises from 0.4 rad/s to 0.5 rad/s. During the steady phase (yellow region), angular velocity is constant at 0.5 rad/s. Compare the centripetal acceleration of a blade tip point during these two phases.","[""A car is traveling at 72 km/h around a curve with a radius of 50 m. What is the centripetal acceleration of the car?"", ""A satellite orbits Earth at a height of 300 km above the surface. Given Earth's radius is 6371 km and the orbital period is 90 minutes, calculate the centripetal acceleration of the satellite."", ""A washing machine spins at 1200 revolutions per minute. If the drum radius is 0.3 m, determine the centripetal acceleration of a water droplet at the edge of the drum.""]",Difficulty: intermediate. Use the provided graph (graph_00ff3cf5.png) and real-world image (fan3.jpg) to construct one centripetal acceleration problem question.,"[""E:\\G-Physolve\\G-Uphysic\\fastapi-gpt\\intermediate_graph\\graph_00ff3cf5.png"", ""E:\\G-Physolve\\G-Uphysic\\fastapi-gpt\\image_result\\fan3.jpg""]"
PR-EN-012-fe,en,problem_generating,few_shot,intermediate,"During the steady phase of the fan's operation, as indicated by the graph's yellow regions, the angular velocity is constant. Given the fan's blade radius from the image, determine the centripetal acceleration at the blade tip.","[""A car is traveling at 72 km/h around a curve with a radius of 50 m. What is the centripetal acceleration of the car?"", ""A satellite orbits Earth at a height of 300 km above the surface. Given Earth's radius is 6371 km and the orbital period is 90 minutes, calculate the centripetal acceleration of the satellite."", ""A washing machine spins at 1200 revolutions per minute. If the drum radius is 0.3 m, determine the centripetal acceleration of a water droplet at the edge of the drum.""]",Difficulty: intermediate. Use the provided graph (graph_04f4b72e.png) and real-world image (fan6.jpeg) to construct one centripetal acceleration problem question.,"[""E:\\G-Physolve\\G-Uphysic\\fastapi-gpt\\intermediate_graph\\graph_04f4b72e.png"", ""E:\\G-Physolve\\G-Uphysic\\fastapi-gpt\\image_result\\fan6.jpeg""]"
PR-EN-013-fe,en,problem_generating,few_shot,intermediate,"A standing fan (as shown in the image) has blades with radius 0.4 m. During the steady phase (as indicated by the graph), the angular velocity is 10 rad/s. During the increase phase, the angular velocity increases from 0 to 10 rad/s. Compare the centripetal acceleration of a blade tip during the steady phase to that during the increase phase.","[""A car is traveling at 72 km/h around a curve with a radius of 50 m. What is the centripetal acceleration of the car?"", ""A satellite orbits Earth at a height of 300 km above the surface. Given Earth's radius is 6371 km and the orbital period is 90 minutes, calculate the centripetal acceleration of the satellite."", ""A washing machine spins at 1200 revolutions per minute. If the drum radius is 0.3 m, determine the centripetal acceleration of a water droplet at the edge of the drum.""]",Difficulty: intermediate. Use the provided graph (graph_0741a783.png) and real-world image (fan7.jpg) to construct one centripetal acceleration problem question.,"[""E:\\G-Physolve\\G-Uphysic\\fastapi-gpt\\intermediate_graph\\graph_0741a783.png"", ""E:\\G-Physolve\\G-Uphysic\\fastapi-gpt\\image_result\\fan7.jpg""]"
PR-EN-014-fe,en,problem_generating,few_shot,intermediate,"During the steady phase of the fan's operation, as indicated by the graph, the angular velocity is constant. Given the radius of the fan blades is r, compare the centripetal acceleration experienced by a point on the blade during the steady phase to that during the decrease phase.","[""A car is traveling at 72 km/h around a curve with a radius of 50 m. What is the centripetal acceleration of the car?"", ""A satellite orbits Earth at a height of 300 km above the surface. Given Earth's radius is 6371 km and the orbital period is 90 minutes, calculate the centripetal acceleration of the satellite."", ""A washing machine spins at 1200 revolutions per minute. If the drum radius is 0.3 m, determine the centripetal acceleration of a water droplet at the edge of the drum.""]",Difficulty: intermediate. Use the provided graph (graph_0cd75b9e.png) and real-world image (fan8.png) to construct one centripetal acceleration problem question.,"[""E:\\G-Physolve\\G-Uphysic\\fastapi-gpt\\intermediate_graph\\graph_0cd75b9e.png"", ""E:\\G-Physolve\\G-Uphysic\\fastapi-gpt\\image_result\\fan8.png""]"
PR-EN-015-fe,en,problem_generating,few_shot,intermediate,"A bicycle wheel's rotation is monitored, with angular velocity data shown in the graph. During the steady phase (yellow region) and increase phase (light blue region), the angular velocity is as indicated. If the radius of the wheel is 0.35 m, compare the centripetal acceleration during the steady phase to that during the increase phase.","[""A car is traveling at 72 km/h around a curve with a radius of 50 m. What is the centripetal acceleration of the car?"", ""A satellite orbits Earth at a height of 300 km above the surface. Given Earth's radius is 6371 km and the orbital period is 90 minutes, calculate the centripetal acceleration of the satellite."", ""A washing machine spins at 1200 revolutions per minute. If the drum radius is 0.3 m, determine the centripetal acceleration of a water droplet at the edge of the drum.""]",Difficulty: intermediate. Use the provided graph (graph_0f5b949e.png) and real-world image (foto_with_circles_1753524783.jpg) to construct one centripetal acceleration problem question.,"[""E:\\G-Physolve\\G-Uphysic\\fastapi-gpt\\intermediate_graph\\graph_0f5b949e.png"", ""E:\\G-Physolve\\G-Uphysic\\fastapi-gpt\\image_result\\g6xxWMxAdjgSPrLfNjkh6qBUI8q1\\foto_with_circles_1753524783.jpg""]"
PR-EN-016-fe,en,problem_generating,few_shot,advanced,"Using the angular velocity value during the steady phase of Experiment 2 from the graph and the radius of the unicycle wheel from the image, determine the centripetal acceleration at the rim of the wheel.","[""A car of mass 1200 kg is moving on a flat circular track of radius 50 m. The coefficient of static friction between the tires and the road is 0.8. Calculate the centripetal acceleration of the car at the maximum safe speed."", ""A conical pendulum consists of a mass of 0.5 kg attached to a string of length 1.2 m. The string makes an angle of 30 degrees with the vertical. Calculate the centripetal acceleration of the mass."", ""A satellite of mass 2000 kg is in a circular orbit around the Earth at an altitude of 300 km. The radius of the Earth is 6371 km. Calculate the centripetal acceleration of the satellite.""]",Difficulty: advanced. Use the provided graph (graph_00b1b290.png) and real-world image (foto_with_circles_1753525429.jpg) to construct one centripetal acceleration problem question.,"[""E:\\G-Physolve\\G-Uphysic\\fastapi-gpt\\advance_graph\\graph_00b1b290.png"", ""E:\\G-Physolve\\G-Uphysic\\fastapi-gpt\\image_result\\g6xxWMxAdjgSPrLfNjkh6qBUI8q1\\foto_with_circles_1753525429.jpg""]"
PR-EN-017-fe,en,problem_generating,few_shot,advanced,"Given the uncertainty in the measured radius of the unicycle wheel (from the image) and the angular velocity data from the graph's 'Steady' phase of Experiment 1, estimate the possible range of centripetal acceleration values.","[""A car of mass 1200 kg is moving on a flat circular track of radius 50 m. The coefficient of static friction between the tires and the road is 0.8. Calculate the centripetal acceleration of the car at the maximum safe speed."", ""A conical pendulum consists of a mass of 0.5 kg attached to a string of length 1.2 m. The string makes an angle of 30 degrees with the vertical. Calculate the centripetal acceleration of the mass."", ""A satellite of mass 2000 kg is in a circular orbit around the Earth at an altitude of 300 km. The radius of the Earth is 6371 km. Calculate the centripetal acceleration of the satellite.""]",Difficulty: advanced. Use the provided graph (graph_015cef4c.png) and real-world image (foto_with_circles_1753526365.jpg) to construct one centripetal acceleration problem question.,"[""E:\\G-Physolve\\G-Uphysic\\fastapi-gpt\\advance_graph\\graph_015cef4c.png"", ""E:\\G-Physolve\\G-Uphysic\\fastapi-gpt\\image_result\\g6xxWMxAdjgSPrLfNjkh6qBUI8q1\\foto_with_circles_1753526365.jpg""]"
PR-EN-018-fe,en,problem_generating,few_shot,advanced,"Using the graph of centripetal acceleration versus time for two experiments and the real-world image of a laptop-based data acquisition system, compare the angular velocity of the rotating object during the Steady phase of Experiment 1 and Experiment 2, and explain how the phases correspond to changes in rotational speed.","[""A car of mass 1200 kg is moving on a flat circular track of radius 50 m. The coefficient of static friction between the tires and the road is 0.8. Calculate the centripetal acceleration of the car at the maximum safe speed."", ""A conical pendulum consists of a mass of 0.5 kg attached to a string of length 1.2 m. The string makes an angle of 30 degrees with the vertical. Calculate the centripetal acceleration of the mass."", ""A satellite of mass 2000 kg is in a circular orbit around the Earth at an altitude of 300 km. The radius of the Earth is 6371 km. Calculate the centripetal acceleration of the satellite.""]",Difficulty: advanced. Use the provided graph (graph_01dc389f.png) and real-world image (foto_with_circles_1753537958.jpg) to construct one centripetal acceleration problem question.,"[""E:\\G-Physolve\\G-Uphysic\\fastapi-gpt\\advance_graph\\graph_01dc389f.png"", ""E:\\G-Physolve\\G-Uphysic\\fastapi-gpt\\image_result\\g6xxWMxAdjgSPrLfNjkh6qBUI8q1\\foto_with_circles_1753537958.jpg""]"
PR-EN-019-fe,en,problem_generating,few_shot,advanced,"Using the angular velocity value of 1.2 rad/s during Experiment 1's 'Decrease' phase (as shown in the graph) and the unicycle wheel's radius r = 0.5 m (from the image), determine the centripetal acceleration at that instant, accounting for measurement uncertainties of ±0.1 rad/s in angular velocity and ±0.02 m in radius.","[""A car of mass 1200 kg is moving on a flat circular track of radius 50 m. The coefficient of static friction between the tires and the road is 0.8. Calculate the centripetal acceleration of the car at the maximum safe speed."", ""A conical pendulum consists of a mass of 0.5 kg attached to a string of length 1.2 m. The string makes an angle of 30 degrees with the vertical. Calculate the centripetal acceleration of the mass."", ""A satellite of mass 2000 kg is in a circular orbit around the Earth at an altitude of 300 km. The radius of the Earth is 6371 km. Calculate the centripetal acceleration of the satellite.""]",Difficulty: advanced. Use the provided graph (graph_02ce992e.png) and real-world image (foto_with_circles_1753577574.jpg) to construct one centripetal acceleration problem question.,"[""E:\\G-Physolve\\G-Uphysic\\fastapi-gpt\\advance_graph\\graph_02ce992e.png"", ""E:\\G-Physolve\\G-Uphysic\\fastapi-gpt\\image_result\\g6xxWMxAdjgSPrLfNjkh6qBUI8q1\\foto_with_circles_1753577574.jpg""]"
PR-EN-020-fe,en,problem_generating,few_shot,advanced,"In the context of the bike's wheel with radius r (as labeled in the image), how does the centripetal acceleration during the 'Increase' phase of Experiment 1 (as indicated by the graph) compare to the centripetal acceleration during the 'Decrease' phase of Experiment 2, considering the relationship between angular velocity and centripetal acceleration?","[""A car of mass 1200 kg is moving on a flat circular track of radius 50 m. The coefficient of static friction between the tires and the road is 0.8. Calculate the centripetal acceleration of the car at the maximum safe speed."", ""A conical pendulum consists of a mass of 0.5 kg attached to a string of length 1.2 m. The string makes an angle of 30 degrees with the vertical. Calculate the centripetal acceleration of the mass."", ""A satellite of mass 2000 kg is in a circular orbit around the Earth at an altitude of 300 km. The radius of the Earth is 6371 km. Calculate the centripetal acceleration of the satellite.""]",Difficulty: advanced. Use the provided graph (graph_03059250.png) and real-world image (foto_with_circles_1753579287.jpg) to construct one centripetal acceleration problem question.,"[""E:\\G-Physolve\\G-Uphysic\\fastapi-gpt\\advance_graph\\graph_03059250.png"", ""E:\\G-Physolve\\G-Uphysic\\fastapi-gpt\\image_result\\g6xxWMxAdjgSPrLfNjkh6qBUI8q1\\foto_with_circles_1753579287.jpg""]"
