id,lang,stage,prompt_type,bleu1,bleu4,rouge1,rouge2,rougeL,bertscore_precision,bertscore_recall,bertscore_f1,geval_overall,stage,prompt_type,bleu1,geval_overall,rougeL,bertscore_precision,bertscore_recall,bertscore_f1
PR-EN-047-co,en,problem_exploring,cot,58.33333333,5.85905937,0.52173913,0.19047619,0.434782609,0.933386922,0.940321147,0.936841249,4.6,problem_exploring,cot,0.583333333,0.92,0.434782609,0.933386922,0.940321147,0.936841249
PR-EN-048-dr,en,problem_exploring,draft_critique_revise,56.25,34.89981253,0.592592593,0.48,0.592592593,0.937010944,0.953210473,0.945041299,4.6,problem_exploring,draft_critique_revise,0.5625,0.92,0.592592593,0.937010944,0.953210473,0.945041299
PR-EN-049-ze,en,problem_exploring,zero_shot,62.5,20.68720601,0.551724138,0.296296296,0.551724138,0.942583203,0.954780996,0.94864291,4.6,problem_exploring,zero_shot,0.625,0.92,0.551724138,0.942583203,0.954780996,0.94864291
PR-EN-050-fe,en,problem_exploring,few_shot,55.55555556,10.21619867,0.451612903,0.275862069,0.387096774,0.925855637,0.907211006,0.91401577,4.6,problem_exploring,few_shot,0.555555556,0.92,0.387096774,0.925855637,0.907211006,0.91401577
PR-EN-051-co,en,problem_exploring,cot,58.33333333,4.926862021,0.461538462,0.086956522,0.384615385,0.924059451,0.910329163,0.916987896,4.6,problem_exploring,cot,0.583333333,0.92,0.384615385,0.924059451,0.910329163,0.916987896
PR-EN-052-dr,en,problem_exploring,draft_critique_revise,57.89473684,21.47917246,0.545454545,0.387096774,0.4375,0.92433393,0.901347339,0.912695944,4.6,problem_exploring,draft_critique_revise,0.578947368,0.92,0.4375,0.92433393,0.901347339,0.912695944
PR-EN-053-ze,en,problem_exploring,zero_shot,57.14285714,5.080057943,0.518518519,0.16,0.37037037,0.936570883,0.936076283,0.936323524,4.6,problem_exploring,zero_shot,0.571428571,0.92,0.37037037,0.936570883,0.936076283,0.936323524
PR-EN-054-fe,en,problem_exploring,few_shot,52.94117647,8.291705933,0.466666667,0.176470588,0.466666667,0.922435224,0.910291612,0.916323185,4.4,problem_exploring,few_shot,0.529411765,0.88,0.466666667,0.922435224,0.910291612,0.916323185
PR-EN-055-co,en,problem_exploring,cot,53.05700388,2.556410434,0.583333333,0.181818182,0.333333333,0.952819586,0.950559497,0.95168823,4.6,problem_exploring,cot,0.530570039,0.92,0.333333333,0.952819586,0.950559497,0.95168823
PR-EN-056-dr,en,problem_exploring,draft_critique_revise,53.66925752,5.390594848,0.48,0.173913043,0.48,0.931824207,0.936161458,0.933987796,4.6,problem_exploring,draft_critique_revise,0.536692575,0.92,0.48,0.931824207,0.936161458,0.933987796
PR-EN-057-ze,en,problem_exploring,zero_shot,59.85403584,21.78465868,0.56,0.347826087,0.56,0.941182375,0.952860713,0.946985543,4.6,problem_exploring,zero_shot,0.598540358,0.92,0.56,0.941182375,0.952860713,0.946985543
PR-EN-058-fe,en,problem_exploring,few_shot,45,6.94168153,0.41025641,0.162162162,0.307692308,0.907301366,0.8931427,0.900166333,4.4,problem_exploring,few_shot,0.45,0.88,0.307692308,0.907301366,0.8931427,0.900166333
PR-EN-059-co,en,problem_exploring,cot,61.53846154,22.99751911,0.583333333,0.363636364,0.416666667,0.934776425,0.945812941,0.940262258,4.6,problem_exploring,cot,0.615384615,0.92,0.416666667,0.934776425,0.945812941,0.940262258
PR-EN-060-dr,en,problem_exploring,draft_critique_revise,50,4.74060426,0.434782609,0.095238095,0.434782609,0.920636296,0.894794762,0.906558096,4.2,problem_exploring,draft_critique_revise,0.5,0.84,0.434782609,0.920636296,0.894794762,0.906558096
PR-EN-061-ze,en,problem_exploring,zero_shot,57.89473684,8.768835437,0.606060606,0.214285714,0.466666667,0.904632151,0.942670822,0.916713834,4.6,problem_exploring,zero_shot,0.578947368,0.92,0.466666667,0.904632151,0.942670822,0.916713834
PR-EN-062-fe,en,problem_exploring,few_shot,92.85714286,69.85342057,0.857142857,0.692307692,0.785714286,0.975982845,0.967220128,0.971581697,4.6,problem_exploring,few_shot,0.928571429,0.92,0.785714286,0.975982845,0.967220128,0.971581697
PR-EN-063-co,en,problem_exploring,cot,78.57142857,75.77395672,0.88,0.869565217,0.88,0.973209023,0.992885947,0.982949018,4.6,problem_exploring,cot,0.785714286,0.92,0.88,0.973209023,0.992885947,0.982949018
PR-EN-064-dr,en,problem_exploring,draft_critique_revise,71.42857143,61.15380577,0.88,0.869565217,0.88,0.970512748,0.989527285,0.979927778,4.6,problem_exploring,draft_critique_revise,0.714285714,0.92,0.88,0.970512748,0.989527285,0.979927778
PR-EN-065-ze,en,problem_exploring,zero_shot,64.70588235,4.902656155,0.666666667,0.193548387,0.424242424,0.922283173,0.936689556,0.92897433,4.6,problem_exploring,zero_shot,0.647058824,0.92,0.424242424,0.922283173,0.936689556,0.92897433
PR-EN-066-fe,en,problem_exploring,few_shot,82.35294118,70.1849117,0.838709677,0.75862069,0.838709677,0.961994648,0.981845856,0.971818924,4.6,problem_exploring,few_shot,0.823529412,0.92,0.838709677,0.961994648,0.981845856,0.971818924
PR-EN-067-co,en,problem_exploring,cot,68.75,12.59730121,0.5625,0.333333333,0.5625,0.935410142,0.943995357,0.939683139,4.6,problem_exploring,cot,0.6875,0.92,0.5625,0.935410142,0.943995357,0.939683139
PR-EN-068-dr,en,problem_exploring,draft_critique_revise,52.63157895,23.83041257,0.514285714,0.3125,0.4375,0.934252501,0.912133217,0.923060358,4.2,problem_exploring,draft_critique_revise,0.526315789,0.84,0.4375,0.934252501,0.912133217,0.923060358
PR-EN-069-ze,en,problem_exploring,zero_shot,57.89473684,16.32064173,0.55,0.322580645,0.424242424,0.923106015,0.937402844,0.930199504,4.6,problem_exploring,zero_shot,0.578947368,0.92,0.424242424,0.923106015,0.937402844,0.930199504
PR-EN-070-fe,en,problem_exploring,few_shot,80.95238095,36.50196094,0.714285714,0.45,0.476190476,0.923070431,0.898475111,0.910606742,4.4,problem_exploring,few_shot,0.80952381,0.88,0.476190476,0.923070431,0.898475111,0.910606742
PR-EN-071-co,en,problem_exploring,cot,62.5,20.68720601,0.6,0.375,0.466666667,0.926514804,0.938303113,0.932371736,4.6,problem_exploring,cot,0.625,0.92,0.466666667,0.926514804,0.938303113,0.932371736
PR-EN-072-dr,en,problem_exploring,draft_critique_revise,66.55575133,22.33954598,0.578947368,0.333333333,0.421052632,0.923206747,0.924119055,0.923662663,4.6,problem_exploring,draft_critique_revise,0.665557513,0.92,0.421052632,0.923206747,0.924119055,0.923662663
PR-EN-073-ze,en,problem_exploring,zero_shot,60,17.92334464,0.606060606,0.322580645,0.606060606,0.931344926,0.95844084,0.944698632,4.6,problem_exploring,zero_shot,0.6,0.92,0.606060606,0.931344926,0.95844084,0.944698632
PR-EN-074-fe,en,problem_exploring,few_shot,44.44444444,3.84190683,0.451612903,0.206896552,0.322580645,0.924279988,0.934508383,0.929366052,4.6,problem_exploring,few_shot,0.444444444,0.92,0.322580645,0.924279988,0.934508383,0.929366052
PR-EN-075-co,en,problem_exploring,cot,71.42857143,24.02211086,0.592592593,0.32,0.592592593,0.937184811,0.93763411,0.937409401,4.6,problem_exploring,cot,0.714285714,0.92,0.592592593,0.937184811,0.93763411,0.937409401
PR-EN-076-dr,en,problem_exploring,draft_critique_revise,56.25,11.33084938,0.4,0.148148148,0.344827586,0.912039816,0.896602273,0.904255152,4.6,problem_exploring,draft_critique_revise,0.5625,0.92,0.344827586,0.912039816,0.896602273,0.904255152
PR-EN-077-ze,en,problem_exploring,zero_shot,71.42857143,47.27526606,0.64,0.52173913,0.64,0.945586562,0.963045955,0.954236448,4.6,problem_exploring,zero_shot,0.714285714,0.92,0.64,0.945586562,0.963045955,0.954236448
PR-EN-078-fe,en,problem_exploring,few_shot,47.61904762,15.36220823,0.486486486,0.242424242,0.4,0.914248466,0.911783576,0.913014352,4.6,problem_exploring,few_shot,0.476190476,0.92,0.4,0.914248466,0.911783576,0.913014352
PR-EN-079-co,en,problem_exploring,cot,69.23076923,11.19983489,0.583333333,0.363636364,0.416666667,0.935374975,0.950909853,0.943078458,4.6,problem_exploring,cot,0.692307692,0.92,0.416666667,0.935374975,0.950909853,0.943078458
PR-EN-080-dr,en,problem_exploring,draft_critique_revise,71.42857143,47.27526606,0.64,0.52173913,0.64,0.945605934,0.96282351,0.954137087,4.6,problem_exploring,draft_critique_revise,0.714285714,0.92,0.64,0.945605934,0.96282351,0.954137087
