id,item_group_id,lang,stage,prompt_type,knowledge_mode,difficulty,inquiry,reference,context,multimodal_asset_paths
PR-EN-006-fe-base,PR-EN-006-fe,en,problem_exploring,few_shot,none,,What happens to the motion of the blades when you explore the relationship between their speed and the force required to maintain their circular path?,"[""How does changing the radius of a circular path affect the centripetal acceleration of an object moving along that path?"", ""What role does mass play in the centripetal acceleration experienced by an object in circular motion, and how can this be experimentally determined?"", ""How can we measure and analyze the relationship between the speed of an object and its centripetal acceleration in a real-world scenario, such as a car taking a curved road?""]",Rotating fan blades,[]
PR-EN-006-fe-kg,PR-EN-006-fe,en,problem_exploring,few_shot,kg,,What happens to the centripetal acceleration when you increase the angular velocity of a rotating object?,"[""How does changing the radius of a circular path affect the centripetal acceleration of an object moving along that path?"", ""What role does mass play in the centripetal acceleration experienced by an object in circular motion, and how can this be experimentally determined?"", ""How can we measure and analyze the relationship between the speed of an object and its centripetal acceleration in a real-world scenario, such as a car taking a curved road?""]",Rotating fan blades,[]
PR-EN-007-fe-base,PR-EN-007-fe,en,problem_exploring,few_shot,none,,What happens to the wheel's motion when you analyze the relationship between its speed and the force needed to maintain its circular path?,"[""How does changing the radius of a circular path affect the centripetal acceleration of an object moving along that path?"", ""What role does mass play in the centripetal acceleration experienced by an object in circular motion, and how can this be experimentally determined?"", ""How can we measure and analyze the relationship between the speed of an object and its centripetal acceleration in a real-world scenario, such as a car taking a curved road?""]",Spinning bicycle wheel,[]
PR-EN-007-fe-kg,PR-EN-007-fe,en,problem_exploring,few_shot,kg,,How does changing the speed of a spinning object affect the force needed to keep it moving in a circle?,"[""How does changing the radius of a circular path affect the centripetal acceleration of an object moving along that path?"", ""What role does mass play in the centripetal acceleration experienced by an object in circular motion, and how can this be experimentally determined?"", ""How can we measure and analyze the relationship between the speed of an object and its centripetal acceleration in a real-world scenario, such as a car taking a curved road?""]",Spinning bicycle wheel,[]
PR-EN-008-fe-base,PR-EN-008-fe,en,problem_exploring,few_shot,none,,What happens to the washer's motion when you explore the effects of varying the string length on centripetal force?,"[""How does changing the radius of a circular path affect the centripetal acceleration of an object moving along that path?"", ""What role does mass play in the centripetal acceleration experienced by an object in circular motion, and how can this be experimentally determined?"", ""How can we measure and analyze the relationship between the speed of an object and its centripetal acceleration in a real-world scenario, such as a car taking a curved road?""]",Washer on a string,[]
PR-EN-008-fe-kg,PR-EN-008-fe,en,problem_exploring,few_shot,kg,,What happens to the centripetal acceleration when you increase the angular velocity of an object moving in a circle?,"[""How does changing the radius of a circular path affect the centripetal acceleration of an object moving along that path?"", ""What role does mass play in the centripetal acceleration experienced by an object in circular motion, and how can this be experimentally determined?"", ""How can we measure and analyze the relationship between the speed of an object and its centripetal acceleration in a real-world scenario, such as a car taking a curved road?""]",Washer on a string,[]
PR-EN-009-fe-base,PR-EN-009-fe,en,problem_exploring,few_shot,none,,What happens to the motion of an object on a turntable when you explore the effects of varying speed and radius?,"[""How does changing the radius of a circular path affect the centripetal acceleration of an object moving along that path?"", ""What role does mass play in the centripetal acceleration experienced by an object in circular motion, and how can this be experimentally determined?"", ""How can we measure and analyze the relationship between the speed of an object and its centripetal acceleration in a real-world scenario, such as a car taking a curved road?""]",Turntable,[]
PR-EN-009-fe-kg,PR-EN-009-fe,en,problem_exploring,few_shot,kg,,What happens to the centripetal acceleration when you increase the angular velocity of a rotating object?,"[""How does changing the radius of a circular path affect the centripetal acceleration of an object moving along that path?"", ""What role does mass play in the centripetal acceleration experienced by an object in circular motion, and how can this be experimentally determined?"", ""How can we measure and analyze the relationship between the speed of an object and its centripetal acceleration in a real-world scenario, such as a car taking a curved road?""]",Turntable,[]
PR-EN-010-fe-base,PR-EN-010-fe,en,problem_exploring,few_shot,none,,What happens to the motion of objects when you explore the forces acting on them in circular paths?,"[""How does changing the radius of a circular path affect the centripetal acceleration of an object moving along that path?"", ""What role does mass play in the centripetal acceleration experienced by an object in circular motion, and how can this be experimentally determined?"", ""How can we measure and analyze the relationship between the speed of an object and its centripetal acceleration in a real-world scenario, such as a car taking a curved road?""]",hamster wheel playgroundcarousel playground,[]
PR-EN-010-fe-kg,PR-EN-010-fe,en,problem_exploring,few_shot,kg,,What everyday activity can you find that involves moving in a circular path?,"[""How does changing the radius of a circular path affect the centripetal acceleration of an object moving along that path?"", ""What role does mass play in the centripetal acceleration experienced by an object in circular motion, and how can this be experimentally determined?"", ""How can we measure and analyze the relationship between the speed of an object and its centripetal acceleration in a real-world scenario, such as a car taking a curved road?""]",hamster wheel playgroundcarousel playground,[]
PR-EN-011-fe-base,PR-EN-011-fe,en,problem_generating,few_shot,none,easy,"A fan blade has a radius of 0.15 m. Using the graph, determine the centripetal acceleration of the blade at 10 seconds when the angular velocity is approximately 12 rad/s.","[""A car is moving in a circular track of radius 50 meters at a constant speed of 10 m/s. Calculate the centripetal acceleration of the car."", ""A toy plane is flying in a horizontal circle with a radius of 2 meters at a speed of 4 m/s. What is the centripetal acceleration of the toy plane?"", ""A cyclist is riding around a circular track with a radius of 30 meters at a speed of 6 m/s. Determine the centripetal acceleration experienced by the cyclist.""]",Difficulty: easy. Use the provided graph (graph_01dd480f.png) and real-world image (fan10.jpg) to construct one centripetal acceleration problem question.,"[""E:\\G-Physolve\\G-Uphysic\\fastapi-gpt\\easy_graph\\graph_01dd480f.png"", ""E:\\G-Physolve\\G-Uphysic\\fastapi-gpt\\image_result\\fan10.jpg""]"
PR-EN-011-fe-kg,PR-EN-011-fe,en,problem_generating,few_shot,kg,easy,"A fan blade with a radius of 0.15 m rotates with an angular velocity that increases from 2 rad/s to 12 rad/s over 10 seconds, as shown in the graph. Calculate the centripetal acceleration at the maximum angular velocity.","[""A car is moving in a circular track of radius 50 meters at a constant speed of 10 m/s. Calculate the centripetal acceleration of the car."", ""A toy plane is flying in a horizontal circle with a radius of 2 meters at a speed of 4 m/s. What is the centripetal acceleration of the toy plane?"", ""A cyclist is riding around a circular track with a radius of 30 meters at a speed of 6 m/s. Determine the centripetal acceleration experienced by the cyclist.""]",Difficulty: easy. Use the provided graph (graph_01dd480f.png) and real-world image (fan10.jpg) to construct one centripetal acceleration problem question.,"[""E:\\G-Physolve\\G-Uphysic\\fastapi-gpt\\easy_graph\\graph_01dd480f.png"", ""E:\\G-Physolve\\G-Uphysic\\fastapi-gpt\\image_result\\fan10.jpg""]"
PR-EN-012-fe-base,PR-EN-012-fe,en,problem_generating,few_shot,none,easy,"A fan with a blade radius of 0.15 m is shown in the image. Using the graph, determine the centripetal acceleration of the fan blade at 10 seconds when the angular velocity is 9 rad/s.","[""A car is moving in a circular track of radius 50 meters at a constant speed of 10 m/s. Calculate the centripetal acceleration of the car."", ""A toy plane is flying in a horizontal circle with a radius of 2 meters at a speed of 4 m/s. What is the centripetal acceleration of the toy plane?"", ""A cyclist is riding around a circular track with a radius of 30 meters at a speed of 6 m/s. Determine the centripetal acceleration experienced by the cyclist.""]",Difficulty: easy. Use the provided graph (graph_0a99e117.png) and real-world image (fan11.jpg) to construct one centripetal acceleration problem question.,"[""E:\\G-Physolve\\G-Uphysic\\fastapi-gpt\\easy_graph\\graph_0a99e117.png"", ""E:\\G-Physolve\\G-Uphysic\\fastapi-gpt\\image_result\\fan11.jpg""]"
PR-EN-012-fe-kg,PR-EN-012-fe,en,problem_generating,few_shot,kg,easy,"A fan blade has a radius of 0.15 m. Using the graph, determine the centripetal acceleration of the blade tip when the angular velocity is 8 rad/s.","[""A car is moving in a circular track of radius 50 meters at a constant speed of 10 m/s. Calculate the centripetal acceleration of the car."", ""A toy plane is flying in a horizontal circle with a radius of 2 meters at a speed of 4 m/s. What is the centripetal acceleration of the toy plane?"", ""A cyclist is riding around a circular track with a radius of 30 meters at a speed of 6 m/s. Determine the centripetal acceleration experienced by the cyclist.""]",Difficulty: easy. Use the provided graph (graph_0a99e117.png) and real-world image (fan11.jpg) to construct one centripetal acceleration problem question.,"[""E:\\G-Physolve\\G-Uphysic\\fastapi-gpt\\easy_graph\\graph_0a99e117.png"", ""E:\\G-Physolve\\G-Uphysic\\fastapi-gpt\\image_result\\fan11.jpg""]"
PR-EN-013-fe-base,PR-EN-013-fe,en,problem_generating,few_shot,none,easy,A fan with a blade radius of 0.15 m operates with an angular velocity as shown in the graph. Calculate the centripetal acceleration of the fan blade at 15 seconds.,"[""A car is moving in a circular track of radius 50 meters at a constant speed of 10 m/s. Calculate the centripetal acceleration of the car."", ""A toy plane is flying in a horizontal circle with a radius of 2 meters at a speed of 4 m/s. What is the centripetal acceleration of the toy plane?"", ""A cyclist is riding around a circular track with a radius of 30 meters at a speed of 6 m/s. Determine the centripetal acceleration experienced by the cyclist.""]",Difficulty: easy. Use the provided graph (graph_0b0749b8.png) and real-world image (fan2.jpg) to construct one centripetal acceleration problem question.,"[""E:\\G-Physolve\\G-Uphysic\\fastapi-gpt\\easy_graph\\graph_0b0749b8.png"", ""E:\\G-Physolve\\G-Uphysic\\fastapi-gpt\\image_result\\fan2.jpg""]"
PR-EN-013-fe-kg,PR-EN-013-fe,en,problem_generating,few_shot,kg,easy,A fan blade with a radius of 0.15 m rotates with an angular velocity that increases from 2 rad/s to 12 rad/s as shown in the graph. Calculate the centripetal acceleration at the maximum angular velocity.,"[""A car is moving in a circular track of radius 50 meters at a constant speed of 10 m/s. Calculate the centripetal acceleration of the car."", ""A toy plane is flying in a horizontal circle with a radius of 2 meters at a speed of 4 m/s. What is the centripetal acceleration of the toy plane?"", ""A cyclist is riding around a circular track with a radius of 30 meters at a speed of 6 m/s. Determine the centripetal acceleration experienced by the cyclist.""]",Difficulty: easy. Use the provided graph (graph_0b0749b8.png) and real-world image (fan2.jpg) to construct one centripetal acceleration problem question.,"[""E:\\G-Physolve\\G-Uphysic\\fastapi-gpt\\easy_graph\\graph_0b0749b8.png"", ""E:\\G-Physolve\\G-Uphysic\\fastapi-gpt\\image_result\\fan2.jpg""]"
PR-EN-014-fe-base,PR-EN-014-fe,en,problem_generating,few_shot,none,easy,"A fan with a blade radius of 0.15 m is shown in the image. Using the graph, determine the centripetal acceleration of the fan blade at 10 seconds when the angular velocity is approximately 1.2 rad/s.","[""A car is moving in a circular track of radius 50 meters at a constant speed of 10 m/s. Calculate the centripetal acceleration of the car."", ""A toy plane is flying in a horizontal circle with a radius of 2 meters at a speed of 4 m/s. What is the centripetal acceleration of the toy plane?"", ""A cyclist is riding around a circular track with a radius of 30 meters at a speed of 6 m/s. Determine the centripetal acceleration experienced by the cyclist.""]",Difficulty: easy. Use the provided graph (graph_0c01cd0b.png) and real-world image (fan22.png) to construct one centripetal acceleration problem question.,"[""E:\\G-Physolve\\G-Uphysic\\fastapi-gpt\\easy_graph\\graph_0c01cd0b.png"", ""E:\\G-Physolve\\G-Uphysic\\fastapi-gpt\\image_result\\fan22.png""]"
PR-EN-014-fe-kg,PR-EN-014-fe,en,problem_generating,few_shot,kg,easy,"A fan blade with a radius of 0.15 m rotates with an angular velocity that reaches 1.5 rad/s at its peak, as shown in the graph. Calculate the centripetal acceleration of the blade tip at this peak angular velocity.","[""A car is moving in a circular track of radius 50 meters at a constant speed of 10 m/s. Calculate the centripetal acceleration of the car."", ""A toy plane is flying in a horizontal circle with a radius of 2 meters at a speed of 4 m/s. What is the centripetal acceleration of the toy plane?"", ""A cyclist is riding around a circular track with a radius of 30 meters at a speed of 6 m/s. Determine the centripetal acceleration experienced by the cyclist.""]",Difficulty: easy. Use the provided graph (graph_0c01cd0b.png) and real-world image (fan22.png) to construct one centripetal acceleration problem question.,"[""E:\\G-Physolve\\G-Uphysic\\fastapi-gpt\\easy_graph\\graph_0c01cd0b.png"", ""E:\\G-Physolve\\G-Uphysic\\fastapi-gpt\\image_result\\fan22.png""]"
PR-EN-015-fe-base,PR-EN-015-fe,en,problem_generating,few_shot,none,easy,A fan with a blade radius of 0.15 m operates according to the angular velocity graph provided. Calculate the centripetal acceleration of a point on the tip of the blade at 15 seconds.,"[""A car is moving in a circular track of radius 50 meters at a constant speed of 10 m/s. Calculate the centripetal acceleration of the car."", ""A toy plane is flying in a horizontal circle with a radius of 2 meters at a speed of 4 m/s. What is the centripetal acceleration of the toy plane?"", ""A cyclist is riding around a circular track with a radius of 30 meters at a speed of 6 m/s. Determine the centripetal acceleration experienced by the cyclist.""]",Difficulty: easy. Use the provided graph (graph_12456302.png) and real-world image (fan2_1770899009.jpg) to construct one centripetal acceleration problem question.,"[""E:\\G-Physolve\\G-Uphysic\\fastapi-gpt\\easy_graph\\graph_12456302.png"", ""E:\\G-Physolve\\G-Uphysic\\fastapi-gpt\\image_result\\qZbjrBpk21gB5dluTsyuQBWVVrJ3\\fan2_1770899009.jpg""]"
PR-EN-015-fe-kg,PR-EN-015-fe,en,problem_generating,few_shot,kg,easy,"A fan blade has a radius of 0.15 m. Using the graph, determine the centripetal acceleration of the blade tip when the angular velocity is 12 rad/s.","[""A car is moving in a circular track of radius 50 meters at a constant speed of 10 m/s. Calculate the centripetal acceleration of the car."", ""A toy plane is flying in a horizontal circle with a radius of 2 meters at a speed of 4 m/s. What is the centripetal acceleration of the toy plane?"", ""A cyclist is riding around a circular track with a radius of 30 meters at a speed of 6 m/s. Determine the centripetal acceleration experienced by the cyclist.""]",Difficulty: easy. Use the provided graph (graph_12456302.png) and real-world image (fan2_1770899009.jpg) to construct one centripetal acceleration problem question.,"[""E:\\G-Physolve\\G-Uphysic\\fastapi-gpt\\easy_graph\\graph_12456302.png"", ""E:\\G-Physolve\\G-Uphysic\\fastapi-gpt\\image_result\\qZbjrBpk21gB5dluTsyuQBWVVrJ3\\fan2_1770899009.jpg""]"
PR-EN-016-fe-base,PR-EN-016-fe,en,problem_generating,few_shot,none,intermediate,A fan with a blade radius of 0.25 m operates with an angular velocity as shown in the graph. Calculate the centripetal acceleration of a point on the tip of the blade at the peak angular velocity observed in the graph.,"[""A car is moving around a circular track with a radius of 50 meters at a constant speed of 20 meters per second. Calculate the centripetal acceleration of the car."", ""A 0.5 kg object is attached to a string and is being swung in a horizontal circle with a radius of 1.5 meters. If the object completes 10 revolutions in 20 seconds, determine the centripetal acceleration of the object."", ""A roller coaster car is traveling through a vertical loop with a radius of 15 meters. If the car maintains a speed of 25 meters per second at the top of the loop, calculate the centripetal acceleration experienced by the car at that point.""]",Difficulty: intermediate. Use the provided graph (graph_00ff3cf5.png) and real-world image (fan3.jpg) to construct one centripetal acceleration problem question.,"[""E:\\G-Physolve\\G-Uphysic\\fastapi-gpt\\intermediate_graph\\graph_00ff3cf5.png"", ""E:\\G-Physolve\\G-Uphysic\\fastapi-gpt\\image_result\\fan3.jpg""]"
PR-EN-016-fe-kg,PR-EN-016-fe,en,problem_generating,few_shot,kg,intermediate,A fan blade with a radius of 0.25 m rotates with an angular velocity that varies as shown in the graph. Calculate the centripetal acceleration at the peak angular velocity observed in the graph.,"[""A car is moving around a circular track with a radius of 50 meters at a constant speed of 20 meters per second. Calculate the centripetal acceleration of the car."", ""A 0.5 kg object is attached to a string and is being swung in a horizontal circle with a radius of 1.5 meters. If the object completes 10 revolutions in 20 seconds, determine the centripetal acceleration of the object."", ""A roller coaster car is traveling through a vertical loop with a radius of 15 meters. If the car maintains a speed of 25 meters per second at the top of the loop, calculate the centripetal acceleration experienced by the car at that point.""]",Difficulty: intermediate. Use the provided graph (graph_00ff3cf5.png) and real-world image (fan3.jpg) to construct one centripetal acceleration problem question.,"[""E:\\G-Physolve\\G-Uphysic\\fastapi-gpt\\intermediate_graph\\graph_00ff3cf5.png"", ""E:\\G-Physolve\\G-Uphysic\\fastapi-gpt\\image_result\\fan3.jpg""]"
PR-EN-017-fe-base,PR-EN-017-fe,en,problem_generating,few_shot,none,intermediate,"A fan with a blade radius of 0.25 m is shown in the image. Using the graph, determine the maximum centripetal acceleration of the fan blade during the increase phase when the angular velocity reaches its peak value. Use the graph to find the peak angular velocity.","[""A car is moving around a circular track with a radius of 50 meters at a constant speed of 20 meters per second. Calculate the centripetal acceleration of the car."", ""A 0.5 kg object is attached to a string and is being swung in a horizontal circle with a radius of 1.5 meters. If the object completes 10 revolutions in 20 seconds, determine the centripetal acceleration of the object."", ""A roller coaster car is traveling through a vertical loop with a radius of 15 meters. If the car maintains a speed of 25 meters per second at the top of the loop, calculate the centripetal acceleration experienced by the car at that point.""]",Difficulty: intermediate. Use the provided graph (graph_04f4b72e.png) and real-world image (fan6.jpeg) to construct one centripetal acceleration problem question.,"[""E:\\G-Physolve\\G-Uphysic\\fastapi-gpt\\intermediate_graph\\graph_04f4b72e.png"", ""E:\\G-Physolve\\G-Uphysic\\fastapi-gpt\\image_result\\fan6.jpeg""]"
PR-EN-017-fe-kg,PR-EN-017-fe,en,problem_generating,few_shot,kg,intermediate,"A fan with a blade radius of 0.25 m is observed. Using the graph, determine the change in centripetal acceleration at the blade tip when the angular velocity increases from 0.4 rad/s to 0.6 rad/s. Assume the blade follows a circular path.","[""A car is moving around a circular track with a radius of 50 meters at a constant speed of 20 meters per second. Calculate the centripetal acceleration of the car."", ""A 0.5 kg object is attached to a string and is being swung in a horizontal circle with a radius of 1.5 meters. If the object completes 10 revolutions in 20 seconds, determine the centripetal acceleration of the object."", ""A roller coaster car is traveling through a vertical loop with a radius of 15 meters. If the car maintains a speed of 25 meters per second at the top of the loop, calculate the centripetal acceleration experienced by the car at that point.""]",Difficulty: intermediate. Use the provided graph (graph_04f4b72e.png) and real-world image (fan6.jpeg) to construct one centripetal acceleration problem question.,"[""E:\\G-Physolve\\G-Uphysic\\fastapi-gpt\\intermediate_graph\\graph_04f4b72e.png"", ""E:\\G-Physolve\\G-Uphysic\\fastapi-gpt\\image_result\\fan6.jpeg""]"
PR-EN-018-fe-base,PR-EN-018-fe,en,problem_generating,few_shot,none,intermediate,"A fan with a blade radius of 0.25 m is observed. Using the graph, determine the centripetal acceleration of a point on the tip of the blade at 15 seconds and 50 seconds. Compare the results.","[""A car is moving around a circular track with a radius of 50 meters at a constant speed of 20 meters per second. Calculate the centripetal acceleration of the car."", ""A 0.5 kg object is attached to a string and is being swung in a horizontal circle with a radius of 1.5 meters. If the object completes 10 revolutions in 20 seconds, determine the centripetal acceleration of the object."", ""A roller coaster car is traveling through a vertical loop with a radius of 15 meters. If the car maintains a speed of 25 meters per second at the top of the loop, calculate the centripetal acceleration experienced by the car at that point.""]",Difficulty: intermediate. Use the provided graph (graph_0741a783.png) and real-world image (fan7.jpg) to construct one centripetal acceleration problem question.,"[""E:\\G-Physolve\\G-Uphysic\\fastapi-gpt\\intermediate_graph\\graph_0741a783.png"", ""E:\\G-Physolve\\G-Uphysic\\fastapi-gpt\\image_result\\fan7.jpg""]"
PR-EN-018-fe-kg,PR-EN-018-fe,en,problem_generating,few_shot,kg,intermediate,A fan with a blade radius of 0.15 m operates with varying angular velocities as shown in the graph. Calculate the centripetal acceleration at the blade tip when the angular velocity is at its maximum value.,"[""A car is moving around a circular track with a radius of 50 meters at a constant speed of 20 meters per second. Calculate the centripetal acceleration of the car."", ""A 0.5 kg object is attached to a string and is being swung in a horizontal circle with a radius of 1.5 meters. If the object completes 10 revolutions in 20 seconds, determine the centripetal acceleration of the object."", ""A roller coaster car is traveling through a vertical loop with a radius of 15 meters. If the car maintains a speed of 25 meters per second at the top of the loop, calculate the centripetal acceleration experienced by the car at that point.""]",Difficulty: intermediate. Use the provided graph (graph_0741a783.png) and real-world image (fan7.jpg) to construct one centripetal acceleration problem question.,"[""E:\\G-Physolve\\G-Uphysic\\fastapi-gpt\\intermediate_graph\\graph_0741a783.png"", ""E:\\G-Physolve\\G-Uphysic\\fastapi-gpt\\image_result\\fan7.jpg""]"
PR-EN-019-fe-base,PR-EN-019-fe,en,problem_generating,few_shot,none,intermediate,"A fan with a radius of 0.15 m is observed. Using the graph, determine the centripetal acceleration of the fan blade at its maximum angular velocity. What is the centripetal acceleration at this point?","[""A car is moving around a circular track with a radius of 50 meters at a constant speed of 20 meters per second. Calculate the centripetal acceleration of the car."", ""A 0.5 kg object is attached to a string and is being swung in a horizontal circle with a radius of 1.5 meters. If the object completes 10 revolutions in 20 seconds, determine the centripetal acceleration of the object."", ""A roller coaster car is traveling through a vertical loop with a radius of 15 meters. If the car maintains a speed of 25 meters per second at the top of the loop, calculate the centripetal acceleration experienced by the car at that point.""]",Difficulty: intermediate. Use the provided graph (graph_0cd75b9e.png) and real-world image (fan8.png) to construct one centripetal acceleration problem question.,"[""E:\\G-Physolve\\G-Uphysic\\fastapi-gpt\\intermediate_graph\\graph_0cd75b9e.png"", ""E:\\G-Physolve\\G-Uphysic\\fastapi-gpt\\image_result\\fan8.png""]"
PR-EN-019-fe-kg,PR-EN-019-fe,en,problem_generating,few_shot,kg,intermediate,"A fan blade with a radius of 0.15 m rotates, and its angular velocity changes as shown in the graph. Calculate the centripetal acceleration at the peak angular velocity and compare it to the centripetal acceleration at the initial angular velocity.","[""A car is moving around a circular track with a radius of 50 meters at a constant speed of 20 meters per second. Calculate the centripetal acceleration of the car."", ""A 0.5 kg object is attached to a string and is being swung in a horizontal circle with a radius of 1.5 meters. If the object completes 10 revolutions in 20 seconds, determine the centripetal acceleration of the object."", ""A roller coaster car is traveling through a vertical loop with a radius of 15 meters. If the car maintains a speed of 25 meters per second at the top of the loop, calculate the centripetal acceleration experienced by the car at that point.""]",Difficulty: intermediate. Use the provided graph (graph_0cd75b9e.png) and real-world image (fan8.png) to construct one centripetal acceleration problem question.,"[""E:\\G-Physolve\\G-Uphysic\\fastapi-gpt\\intermediate_graph\\graph_0cd75b9e.png"", ""E:\\G-Physolve\\G-Uphysic\\fastapi-gpt\\image_result\\fan8.png""]"
PR-EN-020-fe-base,PR-EN-020-fe,en,problem_generating,few_shot,none,intermediate,"A bicycle wheel with a radius of 0.35 meters is shown in the image. Using the graph, determine the centripetal acceleration of the wheel at the peak angular velocity observed during the steady phase. Assume the wheel's radius remains constant.","[""A car is moving around a circular track with a radius of 50 meters at a constant speed of 20 meters per second. Calculate the centripetal acceleration of the car."", ""A 0.5 kg object is attached to a string and is being swung in a horizontal circle with a radius of 1.5 meters. If the object completes 10 revolutions in 20 seconds, determine the centripetal acceleration of the object."", ""A roller coaster car is traveling through a vertical loop with a radius of 15 meters. If the car maintains a speed of 25 meters per second at the top of the loop, calculate the centripetal acceleration experienced by the car at that point.""]",Difficulty: intermediate. Use the provided graph (graph_0f5b949e.png) and real-world image (foto_with_circles_1753524783.jpg) to construct one centripetal acceleration problem question.,"[""E:\\G-Physolve\\G-Uphysic\\fastapi-gpt\\intermediate_graph\\graph_0f5b949e.png"", ""E:\\G-Physolve\\G-Uphysic\\fastapi-gpt\\image_result\\g6xxWMxAdjgSPrLfNjkh6qBUI8q1\\foto_with_circles_1753524783.jpg""]"
PR-EN-020-fe-kg,PR-EN-020-fe,en,problem_generating,few_shot,kg,intermediate,"A bicycle wheel with a radius of 0.3 m is spinning. Using the graph, determine the centripetal acceleration at the peak angular velocity of 20 rad/s. Then, compare it to the centripetal acceleration when the angular velocity is 10 rad/s. Assume the radius remains constant.","[""A car is moving around a circular track with a radius of 50 meters at a constant speed of 20 meters per second. Calculate the centripetal acceleration of the car."", ""A 0.5 kg object is attached to a string and is being swung in a horizontal circle with a radius of 1.5 meters. If the object completes 10 revolutions in 20 seconds, determine the centripetal acceleration of the object."", ""A roller coaster car is traveling through a vertical loop with a radius of 15 meters. If the car maintains a speed of 25 meters per second at the top of the loop, calculate the centripetal acceleration experienced by the car at that point.""]",Difficulty: intermediate. Use the provided graph (graph_0f5b949e.png) and real-world image (foto_with_circles_1753524783.jpg) to construct one centripetal acceleration problem question.,"[""E:\\G-Physolve\\G-Uphysic\\fastapi-gpt\\intermediate_graph\\graph_0f5b949e.png"", ""E:\\G-Physolve\\G-Uphysic\\fastapi-gpt\\image_result\\g6xxWMxAdjgSPrLfNjkh6qBUI8q1\\foto_with_circles_1753524783.jpg""]"
