id,lang,stage,difficulty,prompt_type,bleu1,bleu4,rouge1,rouge2,rougeL,bertscore_precision,bertscore_recall,bertscore_f1,geval_overall
PR-EN-031-fe,en,problem_generating,intermediate,few_shot,34.615384615384606,8.733494456810412,0.41463414634146345,0.17499999999999996,0.26829268292682923,0.8688557744026184,0.9084896445274353,0.8882308006286621,4
PR-EN-032-fe,en,problem_generating,intermediate,few_shot,30.232558139534888,3.6400758840074534,0.2777777777777778,0.11428571428571428,0.2222222222222222,0.8691204786300659,0.8923839926719666,0.8805986642837524,4
PR-EN-033-fe,en,problem_generating,intermediate,few_shot,39.53488372093023,10.081843650735454,0.3513513513513514,0.11428571428571428,0.24324324324324326,0.8722454309463501,0.8923714756965637,0.8818271160125732,4
PR-EN-034-fe,en,problem_generating,intermediate,few_shot,30.769230769230766,10.426904695115764,0.36585365853658536,0.15,0.24390243902439024,0.866173267364502,0.9048585891723633,0.8850933909416199,4
PR-EN-035-fe,en,problem_generating,intermediate,few_shot,34.69387755102041,11.255098184163641,0.4,0.15384615384615383,0.25,0.8667082786560059,0.9072520732879639,0.8865168690681458,4
PR-EN-036-fe,en,problem_generating,intermediate,few_shot,33.33333333333333,5.065796399195239,0.36619718309859156,0.14492753623188406,0.22535211267605634,0.8716323971748352,0.8962486982345581,0.8820868730545044,4
PR-EN-037-fe,en,problem_generating,intermediate,few_shot,25.53191489361702,3.254093964504216,0.2631578947368421,0.1081081081081081,0.17948717948717952,0.8647570013999939,0.8909257650375366,0.8776464462280273,4
PR-EN-038-fe,en,problem_generating,intermediate,few_shot,33.33333333333333,3.749108806103333,0.32352941176470584,0.09090909090909093,0.2647058823529412,0.8711400628089905,0.8963955044746399,0.8835873603820801,4
PR-EN-039-fe,en,problem_generating,advanced,few_shot,40.816326530612244,11.336958836647044,0.3541666666666667,0.11650485436893204,0.20833333333333331,0.8646208047866821,0.876634955406189,0.8687751889228821,4
PR-EN-040-fe,en,problem_generating,advanced,few_shot,36.507936507936506,12.764376742314711,0.3272727272727273,0.10256410256410256,0.2727272727272727,0.8602720499038696,0.8747154474258423,0.8662220239639282,4
PR-EN-041-fe,en,problem_generating,advanced,few_shot,36.36363636363637,10.064933408903066,0.34,0.09345794392523366,0.19999999999999998,0.8692513704299927,0.8718317151069641,0.8705396056175232,4
PR-EN-042-fe,en,problem_generating,advanced,few_shot,36.36363636363637,9.707409491312772,0.35593220338983056,0.09599999999999999,0.2580645161290323,0.8631756901741028,0.8911405801773071,0.8758459687232971,4
PR-EN-043-fe,en,problem_generating,advanced,few_shot,33.33333333333333,1.6826685014478007,0.29629629629629634,0.07339449541284403,0.19607843137254902,0.8499144911766052,0.8654682636260986,0.8576208353042603,4
PR-EN-044-fe,en,problem_generating,advanced,few_shot,42.0,8.217199674521215,0.35051546391752575,0.09615384615384615,0.2268041237113402,0.8694721460342407,0.8783844709396362,0.873905599117279,4
PR-EN-045-fe,en,problem_generating,advanced,few_shot,35.483870967741936,4.026748163053029,0.35185185185185186,0.11320754716981132,0.24074074074074076,0.8625828623771667,0.8709856271743774,0.8667639493942261,4
PR-EN-046-fe,en,problem_generating,advanced,few_shot,31.57894736842105,1.5448759309616737,0.29411764705882354,0.055045871559633024,0.23529411764705882,0.8583856225013733,0.8637839555740356,0.861076295375824,4
PR-EN-047-fe,en,problem_generating,advanced,few_shot,39.6551724137931,4.2169706319616935,0.3238095238095238,0.0970873786407767,0.2476190476190476,0.8668107390403748,0.8732624053955078,0.8700246214866638,4
PR-EN-048-fe,en,problem_generating,advanced,few_shot,38.88888888888889,11.880293242208234,0.33663366336633666,0.0808080808080808,0.198019801980198,0.8698379397392273,0.8777024745941162,0.8723571300506592,4
