problem_exploring,stage 1,input,information_1,system_q,user_answer_type,user_a,system_feedback,scaffolding_or_next_step
centripetal concept,stage 1,vegetable washer,Object name: vegetable washer,"Jika kecepatan sudut putaran sama, sayuran dekat dinding luar atau dekat pusat yang memiliki kecepatan linear lebih besar?",correct,Sayuran dekat dinding luar memiliki kecepatan linear lebih besar.,Benar. Titik yang lebih jauh dari pusat menempuh lintasan lebih panjang dalam waktu yang sama. Sekarang lanjut ke ide percepatan sentripetal yang arahnya ke pusat.,Next step: tanyakan mengapa benda tetap berbelok dan tidak bergerak lurus.
centripetal concept,stage 1,vegetable washer,Object name: vegetable washer,"Jika kecepatan sudut putaran sama, sayuran dekat dinding luar atau dekat pusat yang memiliki kecepatan linear lebih besar?",wrong,Keduanya sama karena semuanya diputar oleh mesin yang sama.,"Mesinnya memang sama, tetapi tidak semua titik menempuh jarak yang sama dalam satu putaran. Coba bandingkan keliling lintasan dekat pusat dan keliling lintasan dekat dinding luar.",Scaffolding: gunakan perbandingan panjang lintasan per putaran.
problem_exploring,stage,input,information_1,user ask,scaffolding_or_next_step,,,
centripetal concept,stage 2,sensor data graph,Grafik sensor menunjukkan pola data berulang saat objek diputar secara stabil.,"Jika pola pada grafik sensor berulang secara teratur dari waktu ke waktu, gerak objek paling mungkin bersifat seperti apa?","Next step: identifikasi apakah periode, kecepatan sudut, atau percepatan yang tampak stabil.",,,
centripetal concept,stage 2,sensor data graph,Grafik sensor menunjukkan pola data berulang saat objek diputar secara stabil.,"Jika pola pada grafik sensor berulang secara teratur dari waktu ke waktu, gerak objek paling mungkin bersifat seperti apa?","Scaffolding: arahkan siswa melihat pengulangan pola, bukan hanya fluktuasi sesaat.",,,
centripetal concept,stage 2,sensor data graph,"Pada dua grafik sensor, grafik A memiliki puncak yang jaraknya lebih rapat dibanding grafik B.","Jika puncak-puncak pada grafik A lebih rapat daripada grafik B, apa yang dapat disimpulkan tentang frekuensi putaran grafik A?",Next step: tanyakan hubungan frekuensi dan periode.,,,
centripetal concept,stage 2,sensor data graph,"Pada dua grafik sensor, grafik A memiliki puncak yang jaraknya lebih rapat dibanding grafik B.","Jika puncak-puncak pada grafik A lebih rapat daripada grafik B, apa yang dapat disimpulkan tentang frekuensi putaran grafik A?",Scaffolding: bantu siswa mengaitkan kerapatan puncak dengan jumlah kejadian per detik.,,,
centripetal concept,stage 2,sensor data graph,Sebuah grafik sensor berubah dari pola renggang menjadi pola lebih rapat setelah beberapa detik.,"Ketika pola grafik menjadi semakin rapat, perubahan apa yang paling mungkin terjadi pada putaran objek?",Next step: hubungkan kenaikan kecepatan sudut dengan percepatan sentripetal.,,,
centripetal concept,stage 2,sensor data graph,Sebuah grafik sensor berubah dari pola renggang menjadi pola lebih rapat setelah beberapa detik.,"Ketika pola grafik menjadi semakin rapat, perubahan apa yang paling mungkin terjadi pada putaran objek?",Scaffolding: arahkan siswa menghitung banyak siklus dalam interval waktu yang sama.,,,
centripetal concept,stage 2,acceleration vs time,Grafik acceleration vs time menampilkan besar percepatan saat objek bergerak melingkar dengan radius tetap.,"Jika pada grafik acceleration vs time nilai percepatan rata-rata menjadi lebih besar saat putaran makin cepat, apa makna fisiknya?",Next step: arahkan ke hubungan a_c dengan omega atau v.,,,
centripetal concept,stage 2,acceleration vs time,Grafik acceleration vs time menampilkan besar percepatan saat objek bergerak melingkar dengan radius tetap.,"Jika pada grafik acceleration vs time nilai percepatan rata-rata menjadi lebih besar saat putaran makin cepat, apa makna fisiknya?",Scaffolding: kaitkan percepatan dengan perubahan arah gerak yang makin cepat.,,,
centripetal concept,stage 2,acceleration vs time,"Pada dua percobaan dengan radius sama, grafik acceleration vs time percobaan A berada lebih tinggi daripada percobaan B.","Jika radius kedua percobaan sama, apa kesimpulan paling masuk akal tentang kecepatan sudut pada percobaan A?",Next step: eksplorasi dampak omega dua kali lipat pada percepatan.,,,
centripetal concept,stage 2,acceleration vs time,"Pada dua percobaan dengan radius sama, grafik acceleration vs time percobaan A berada lebih tinggi daripada percobaan B.","Jika radius kedua percobaan sama, apa kesimpulan paling masuk akal tentang kecepatan sudut pada percobaan A?",Scaffolding: arahkan siswa menghubungkan percepatan lebih besar dengan perubahan arah yang lebih cepat.,,,
centripetal concept,stage 2,acceleration vs time,"Sebuah benda bergerak melingkar dengan radius tetap, lalu kecepatan sudutnya menjadi dua kali semula.","Jika radius tetap dan kecepatan sudut menjadi dua kali lipat, bagaimana perubahan besar percepatan sentripetal?",Next step: hubungkan hasil ini dengan grafik angular velocity vs acceleration.,,,
centripetal concept,stage 2,acceleration vs time,"Sebuah benda bergerak melingkar dengan radius tetap, lalu kecepatan sudutnya menjadi dua kali semula.","Jika radius tetap dan kecepatan sudut menjadi dua kali lipat, bagaimana perubahan besar percepatan sentripetal?",Scaffolding: bantu siswa meninjau bentuk kuadrat pada hubungan a_c = omega kuadrat kali r.,,,
centripetal concept,stage 2,angular velocity vs time,Grafik angular velocity vs time berupa garis mendatar di atas nol.,"Jika grafik angular velocity vs time mendatar di atas nol, apa arti kondisi putaran benda?",Next step: arahkan ke konsep gerak melingkar beraturan.,,,
centripetal concept,stage 2,angular velocity vs time,Grafik angular velocity vs time berupa garis mendatar di atas nol.,"Jika grafik angular velocity vs time mendatar di atas nol, apa arti kondisi putaran benda?",Scaffolding: minta siswa membedakan garis mendatar dan garis menanjak.,,,
centripetal concept,stage 2,angular velocity vs time,Grafik angular velocity vs time menanjak dari nilai kecil ke nilai yang lebih besar.,Apa makna fisik dari grafik angular velocity vs time yang menanjak?,Next step: tanyakan perubahan percepatan sentripetal saat omega naik.,,,
centripetal concept,stage 2,angular velocity vs time,Grafik angular velocity vs time menanjak dari nilai kecil ke nilai yang lebih besar.,Apa makna fisik dari grafik angular velocity vs time yang menanjak?,Scaffolding: arahkan siswa membaca arti sumbu vertikal terlebih dahulu.,,,
centripetal concept,stage 2,angular velocity vs time,Grafik angular velocity vs time berada di bawah nol berdasarkan konvensi arah tertentu.,"Jika nilai kecepatan sudut bernilai negatif pada grafik, apa arti tanda negatif tersebut?",Next step: minta siswa menyebutkan bahwa besar kecepatan sudut tetap dilihat dari nilai mutlaknya.,,,
centripetal concept,stage 2,angular velocity vs time,Grafik angular velocity vs time berada di bawah nol berdasarkan konvensi arah tertentu.,"Jika nilai kecepatan sudut bernilai negatif pada grafik, apa arti tanda negatif tersebut?",Scaffolding: arahkan siswa pada peran tanda untuk menunjukkan arah rotasi.,,,
centripetal concept,stage 2,angular velocity vs acceleration,Data menunjukkan hubungan antara kecepatan sudut dan percepatan sentripetal pada radius tetap.,"Jika radius tetap dan kecepatan sudut meningkat, bagaimana kecenderungan percepatan sentripetal?",Next step: tanyakan apakah hubungan itu linear atau kuadrat.,,,
centripetal concept,stage 2,angular velocity vs acceleration,Data menunjukkan hubungan antara kecepatan sudut dan percepatan sentripetal pada radius tetap.,"Jika radius tetap dan kecepatan sudut meningkat, bagaimana kecenderungan percepatan sentripetal?",Scaffolding: hubungkan putaran lebih cepat dengan kebutuhan perubahan arah yang lebih besar.,,,
centripetal concept,stage 2,angular velocity vs acceleration,"Pada radius tetap, kecepatan sudut pada percobaan kedua menjadi dua kali percobaan pertama.","Jika kecepatan sudut menjadi dua kali dan radius tetap, berapa kali percepatan sentripetal berubah?",Next step: hubungkan hasil ini dengan bentuk kurva yang melengkung ke atas.,,,
centripetal concept,stage 2,angular velocity vs acceleration,"Pada radius tetap, kecepatan sudut pada percobaan kedua menjadi dua kali percobaan pertama.","Jika kecepatan sudut menjadi dua kali dan radius tetap, berapa kali percepatan sentripetal berubah?",Scaffolding: arahkan siswa mengevaluasi efek pemangkatan dua.,,,
centripetal concept,stage 2,angular velocity vs acceleration,Grafik angular velocity vs acceleration pada radius tetap membentuk kurva yang makin curam saat omega bertambah.,"Jika grafik hubungan angular velocity vs acceleration membentuk kurva yang semakin curam, hubungan apa yang paling sesuai?",Next step: minta siswa menyebutkan rumus a_c = omega kuadrat kali r.,,,
centripetal concept,stage 2,angular velocity vs acceleration,Grafik angular velocity vs acceleration pada radius tetap membentuk kurva yang makin curam saat omega bertambah.,"Jika grafik hubungan angular velocity vs acceleration membentuk kurva yang semakin curam, hubungan apa yang paling sesuai?",Scaffolding: arahkan siswa membandingkan ciri grafik linear dan kuadrat.,,,
